"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|NO3","Without sequence","29.56","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|NO3","Without sequence","28.46","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|NO3","Without sequence","26.66","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|NO3","Without sequence","24.48","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|NO3","Without sequence","24.01","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|NO3","Without sequence","21.23","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|NO3","Without sequence","22.62","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|NO3","Without sequence","25.04","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|NO3","Without sequence","26.24","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|NO3","Without sequence","32.21","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|NO3","Without sequence","41.34","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|NO3","Without sequence","43.51","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|NO3","Without sequence","43.02","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|NO3","Without sequence","44.29","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|NO3","Without sequence","46.24","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|NO3","Without sequence","50.61","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|NO3","Without sequence","59.47","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|NO3","Without sequence","64.99","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|NO3","Without sequence","61.74","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|NO3","Without sequence","55.07","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|NO3","Without sequence","48.01","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|NO3","Without sequence","44.01","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|NO3","Without sequence","45.2","",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|NO3","Without sequence","38.0","",""
